Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
  Abbey VL (4708048) 01909 (  6.3%),"Abbey VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Buchanan No. 304 RM (4709049) 00000 (  7.1%),"Buchanan No. 304 RM (CSD, SK)",45600,9120,22800,36480,54720,"<= $9,120","$9,120 - $22,800","$22,800 - $36,480","$36,480 - $54,720",">= $54,721",1140,228,570,912,"$1,368",<= $228,$228 - $570,$570 - $912,"$912 - $1,368",">= $1,369"
  Buchanan VL (4709053) 00909 (  6.9%),"Buchanan VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Buckland No. 491 RM (4715094) 00000 (  6.7%),"Buckland No. 491 RM (CSD, SK)",106000,21200,53000,84800,127200,"<= $21,200","$21,200 - $53,000","$53,000 - $84,800","$84,800 - $127,200",">= $127,201",2650,530,1325,2120,"$3,180",<= $530,"$530 - $1,325","$1,325 - $2,120","$2,120 - $3,180",">= $3,181"
  Buena Vista VL (4706055) 01010 ( 12.1%),"Buena Vista VL (CSD, SK)",113000,22600,56500,90400,135600,"<= $22,600","$22,600 - $56,500","$56,500 - $90,400","$90,400 - $135,600",">= $135,601",2825,565,1412.5,2260,"$3,390",<= $565,"$565 - $1,413","$1,413 - $2,260","$2,260 - $3,390",">= $3,391"
  Buffalo Narrows NV (4718070) 00030 ( 36.1%),"Buffalo Narrows NV (CSD, SK)",110000,22000,55000,88000,132000,"<= $22,000","$22,000 - $55,000","$55,000 - $88,000","$88,000 - $132,000",">= $132,001",2750,550,1375,2200,"$3,300",<= $550,"$550 - $1,375","$1,375 - $2,200","$2,200 - $3,300",">= $3,301"
  Buffalo No. 409 RM (4713068) 00000 (  0.0%),"Buffalo No. 409 RM (CSD, SK)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
Bulkley-Nechako (5951) 00010 ( 11.0%),"Bulkley-Nechako (CD, BC)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Bulkley-Nechako A RDA (5951051) 00000 (  7.3%),"Bulkley-Nechako A RDA (CSD, BC)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Bulkley-Nechako B RDA (5951028) 00000 (  7.6%),"Bulkley-Nechako B RDA (CSD, BC)",87000,17400,43500,69600,104400,"<= $17,400","$17,400 - $43,500","$43,500 - $69,600","$69,600 - $104,400",">= $104,401",2175,435,1087.5,1740,"$2,610",<= $435,"$435 - $1,088","$1,088 - $1,740","$1,740 - $2,610",">= $2,611"
  Bulkley-Nechako C RDA (5951015) 00010 ( 12.6%),"Bulkley-Nechako C RDA (CSD, BC)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Bulkley-Nechako D RDA (5951017) 00010 ( 12.4%),"Bulkley-Nechako D RDA (CSD, BC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Bulkley-Nechako E RDA (5951031) 00000 (  8.4%),"Bulkley-Nechako E RDA (CSD, BC)",73500,14700,36750,58800,88200,"<= $14,700","$14,700 - $36,750","$36,750 - $58,800","$58,800 - $88,200",">= $88,201",1837.5,367.5,918.75,1470,"$2,205",<= $368,$368 - $919,"$919 - $1,470","$1,470 - $2,205",">= $2,206"
  Bulkley-Nechako F RDA (5951019) 00010 ( 12.3%),"Bulkley-Nechako F RDA (CSD, BC)",88000,17600,44000,70400,105600,"<= $17,600","$17,600 - $44,000","$44,000 - $70,400","$70,400 - $105,600",">= $105,601",2200,440,1100,1760,"$2,640",<= $440,"$440 - $1,100","$1,100 - $1,760","$1,760 - $2,640",">= $2,641"
  Bulkley-Nechako G RDA (5951053) 00010 ( 16.0%),"Bulkley-Nechako G RDA (CSD, BC)",79000,15800,39500,63200,94800,"<= $15,800","$15,800 - $39,500","$39,500 - $63,200","$63,200 - $94,800",">= $94,801",1975,395,987.5,1580,"$2,370",<= $395,$395 - $988,"$988 - $1,580","$1,580 - $2,370",">= $2,371"
  Bulyea VL (4706073) 00909 (  7.1%),"Bulyea VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Burk's Falls VL (3549022) 00000 (  5.0%),"Burk's Falls VL (CSD, ON)",60000,12000,30000,48000,72000,"<= $12,000","$12,000 - $30,000","$30,000 - $48,000","$48,000 - $72,000",">= $72,001",1500,300,750,1200,"$1,800",<= $300,$300 - $750,"$750 - $1,200","$1,200 - $1,800",">= $1,801"
  Burlington CY (3524002) 00000 (  1.8%),"Burlington CY (CSD, ON)",110000,22000,55000,88000,132000,"<= $22,000","$22,000 - $55,000","$55,000 - $88,000","$88,000 - $132,000",">= $132,001",2750,550,1375,2200,"$3,300",<= $550,"$550 - $1,375","$1,375 - $2,200","$2,200 - $3,300",">= $3,301"
  Burnaby CY (5915025) 00000 (  3.5%),"Burnaby CY (CSD, BC)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Burns Lake VL (5951022) 00020 ( 23.1%),"Burns Lake VL (CSD, BC)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,"$2,670",<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Burnstick Lake SV (4809005) 09999 (  7.7%),"Burnstick Lake SV (CSD, AL)",,,,,,,,,,,,,,,,,,,,
  Burpee and Mills TP (3551028) 00010 ( 13.3%),"Burpee and Mills TP (CSD, ON)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Burstall T (4708062) 00010 ( 17.1%),"Burstall T (CSD, SK)",86000,17200,43000,68800,103200,"<= $17,200","$17,200 - $43,000","$43,000 - $68,800","$68,800 - $103,200",">= $103,201",2150,430,1075,1720,"$2,580",<= $430,"$430 - $1,075","$1,075 - $1,720","$1,720 - $2,580",">= $2,581"
  Bury MÃ‰ (2441070) 00000 (  3.2%),"Bury MÉ (CSD, QC)",62800,12560,31400,50240,75360,"<= $12,560","$12,560 - $31,400","$31,400 - $50,240","$50,240 - $75,360",">= $75,361",1570,314,785,1256,"$1,884",<= $314,$314 - $785,"$785 - $1,256","$1,256 - $1,884",">= $1,885"
  CÃ´te-Nord-du-Golfe-du-Saint-Laurent MÃ‰ (2498015) 00000 (  7.4%),"Côte-Nord-du-Golfe-du-Saint-Laurent MÉ (CSD, QC)",72000,14400,36000,57600,86400,"<= $14,400","$14,400 - $36,000","$36,000 - $57,600","$57,600 - $86,400",">= $86,401",1800,360,900,1440,"$2,160",<= $360,$360 - $900,"$900 - $1,440","$1,440 - $2,160",">= $2,161"
  CÃ´te-Saint-Luc V (2466058) 00000 (  4.4%),"Côte-Saint-Luc V (CSD, QC)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Cabri T (4708032) 01010 ( 17.9%),"Cabri T (CSD, SK)",52400,10480,26200,41920,62880,"<= $10,480","$10,480 - $26,200","$26,200 - $41,920","$41,920 - $62,880",">= $62,881",1310,262,655,1048,"$1,572",<= $262,$262 - $655,"$655 - $1,048","$1,048 - $1,572",">= $1,573"
  Cache Creek VL (5933024) 00020 ( 25.7%),"Cache Creek VL (CSD, BC)",52800,10560,26400,42240,63360,"<= $10,560","$10,560 - $26,400","$26,400 - $42,240","$42,240 - $63,360",">= $63,361",1320,264,660,1056,"$1,584",<= $264,$264 - $660,"$660 - $1,056","$1,056 - $1,584",">= $1,585"
  Cacouna MÃ‰ (2412057) 00000 (  3.3%),"Cacouna MÉ (CSD, QC)",71500,14300,35750,57200,85800,"<= $14,300","$14,300 - $35,750","$35,750 - $57,200","$57,200 - $85,800",">= $85,801",1787.5,357.5,893.75,1430,"$2,145",<= $358,$358 - $894,"$894 - $1,430","$1,430 - $2,145",">= $2,146"
  Cadillac VL (4704029) 00909 (  0.0%),"Cadillac VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Calder No. 241 RM (4709001) 00010 ( 15.4%),"Calder No. 241 RM (CSD, SK)",59200,11840,29600,47360,71040,"<= $11,840","$11,840 - $29,600","$29,600 - $47,360","$47,360 - $71,040",">= $71,041",1480,296,740,1184,"$1,776",<= $296,$296 - $740,"$740 - $1,184","$1,184 - $1,776",">= $1,777"
  Calder VL (4709002) 00929 ( 27.3%),"Calder VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Caledon T (3521024) 00000 (  3.8%),"Caledon T (CSD, ON)",133000,26600,66500,106400,159600,"<= $26,600","$26,600 - $66,500","$66,500 - $106,400","$106,400 - $159,600",">= $159,601",3325,665,1662.5,2660,"$3,990",<= $665,"$665 - $1,663","$1,663 - $2,660","$2,660 - $3,990",">= $3,991"
  Caledonia No. 99 RM (4702066) 00919 ( 13.6%),"Caledonia No. 99 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Calgary CY (4806016) 00000 (  3.8%),"Calgary CY (CSD, AL)",99000,19800,49500,79200,118800,"<= $19,800","$19,800 - $49,500","$49,500 - $79,200","$79,200 - $118,800",">= $118,801",2475,495,1237.5,1980,"$2,970",<= $495,"$495 - $1,238","$1,238 - $1,980","$1,980 - $2,970",">= $2,971"
  Calixa-LavallÃ©e MÃ‰ (2459030) 00000 (  1.9%),"Calixa-Lavallée MÉ (CSD, QC)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Callander MU (3549066) 00000 (  2.8%),"Callander MU (CSD, ON)",103000,20600,51500,82400,123600,"<= $20,600","$20,600 - $51,500","$51,500 - $82,400","$82,400 - $123,600",">= $123,601",2575,515,1287.5,2060,"$3,090",<= $515,"$515 - $1,288","$1,288 - $2,060","$2,060 - $3,090",">= $3,091"
  Calmar T (4811019) 00000 (  3.2%),"Calmar T (CSD, AL)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Calvin MU (3548022) 00000 (  6.0%),"Calvin MU (CSD, ON)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Cambria No. 6 RM (4702001) 00000 (  6.9%),"Cambria No. 6 RM (CSD, SK)",98000,19600,49000,78400,117600,"<= $19,600","$19,600 - $49,000","$49,000 - $78,400","$78,400 - $117,600",">= $117,601",2450,490,1225,1960,"$2,940",<= $490,"$490 - $1,225","$1,225 - $1,960","$1,960 - $2,940",">= $2,941"
  Cambridge CY (3530010) 00000 (  3.1%),"Cambridge CY (CSD, ON)",93000,18600,46500,74400,111600,"<= $18,600","$18,600 - $46,500","$46,500 - $74,400","$74,400 - $111,600",">= $111,601",2325,465,1162.5,1860,"$2,790",<= $465,"$465 - $1,163","$1,163 - $1,860","$1,860 - $2,790",">= $2,791"
  Campbell River CY (5924034) 00000 (  2.4%),"Campbell River CY (CSD, BC)",78000,15600,39000,62400,93600,"<= $15,600","$15,600 - $39,000","$39,000 - $62,400","$62,400 - $93,600",">= $93,601",1950,390,975,1560,"$2,340",<= $390,$390 - $975,"$975 - $1,560","$1,560 - $2,340",">= $2,341"
  Campbell's Bay MÃ‰ (2484030) 00000 (  8.2%),"Campbell's Bay MÉ (CSD, QC)",46000,9200,23000,36800,55200,"<= $9,200","$9,200 - $23,000","$23,000 - $36,800","$36,800 - $55,200",">= $55,201",1150,230,575,920,"$1,380",<= $230,$230 - $575,$575 - $920,"$920 - $1,380",">= $1,381"
  Camrose County MD (4810001) 00000 (  6.3%),"Camrose County MD (CSD, AL)",90000,18000,45000,72000,108000,"<= $18,000","$18,000 - $45,000","$45,000 - $72,000","$72,000 - $108,000",">= $108,001",2250,450,1125,1800,"$2,700",<= $450,"$450 - $1,125","$1,125 - $1,800","$1,800 - $2,700",">= $2,701"
  Camrose CY (4810011) 00000 (  3.8%),"Camrose CY (CSD, AL)",76500,15300,38250,61200,91800,"<= $15,300","$15,300 - $38,250","$38,250 - $61,200","$61,200 - $91,800",">= $91,801",1912.5,382.5,956.25,1530,"$2,295",<= $383,$383 - $956,"$956 - $1,530","$1,530 - $2,295",">= $2,296"
  Cana No. 214 RM (4705073) 00000 (  7.8%),"Cana No. 214 RM (CSD, SK)",100000,20000,50000,80000,120000,"<= $20,000","$20,000 - $50,000","$50,000 - $80,000","$80,000 - $120,000",">= $120,001",2500,500,1250,2000,"$3,000",<= $500,"$500 - $1,250","$1,250 - $2,000","$2,000 - $3,000",">= $3,001"
  Canaan No. 225 RM (4707058) 00909 (  0.0%),"Canaan No. 225 RM (CSD, SK)",,,,,,,,,,,,,,,,,,,,
Canada (1) 20000 (  4.3%),Canada,84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Canal Flats VL (5901043) 00010 ( 13.8%),"Canal Flats VL (CSD, BC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Candiac V (2467020) 00000 (  1.2%),"Candiac V (CSD, QC)",112000,22400,56000,89600,134400,"<= $22,400","$22,400 - $56,000","$56,000 - $89,600","$89,600 - $134,400",">= $134,401",2800,560,1400,2240,"$3,360",<= $560,"$560 - $1,400","$1,400 - $2,240","$2,240 - $3,360",">= $3,361"
  Candle Lake RV (4715070) 03030 ( 35.0%),"Candle Lake RV (CSD, SK)",84000,16800,42000,67200,100800,"<= $16,800","$16,800 - $42,000","$42,000 - $67,200","$67,200 - $100,800",">= $100,801",2100,420,1050,1680,"$2,520",<= $420,"$420 - $1,050","$1,050 - $1,680","$1,680 - $2,520",">= $2,521"
  Caniapiscau NO (2497908) 09999 (  0.0%),"Caniapiscau NO (CSD, QC)",,,,,,,,,,,,,,,,,,,,
  Canmore T (4815023) 00010 ( 11.1%),"Canmore T (CSD, AL)",107000,21400,53500,85600,128400,"<= $21,400","$21,400 - $53,500","$53,500 - $85,600","$85,600 - $128,400",">= $128,401",2675,535,1337.5,2140,"$3,210",<= $535,"$535 - $1,338","$1,338 - $2,140","$2,140 - $3,210",">= $3,211"
  Canora T (4709032) 00000 (  5.6%),"Canora T (CSD, SK)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,"$1,656",<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  Cantley MÃ‰ (2482020) 00000 (  3.2%),"Cantley MÉ (CSD, QC)",131000,26200,65500,104800,157200,"<= $26,200","$26,200 - $65,500","$65,500 - $104,800","$104,800 - $157,200",">= $157,201",3275,655,1637.5,2620,"$3,930",<= $655,"$655 - $1,638","$1,638 - $2,620","$2,620 - $3,930",">= $3,931"
  Canwood No. 494 RM (4716051) 00010 ( 12.3%),"Canwood No. 494 RM (CSD, SK)",74500,14900,37250,59600,89400,"<= $14,900","$14,900 - $37,250","$37,250 - $59,600","$59,600 - $89,400",">= $89,401",1862.5,372.5,931.25,1490,"$2,235",<= $373,$373 - $931,"$931 - $1,490","$1,490 - $2,235",">= $2,236"
  Canwood VL (4716052) 00000 (  2.7%),"Canwood VL (CSD, SK)",51600,10320,25800,41280,61920,"<= $10,320","$10,320 - $25,800","$25,800 - $41,280","$41,280 - $61,920",">= $61,921",1290,258,645,1032,"$1,548",<= $258,$258 - $645,"$645 - $1,032","$1,032 - $1,548",">= $1,549"
  Cap-Chat V (2404047) 00000 (  6.6%),"Cap-Chat V (CSD, QC)",49600,9920,24800,39680,59520,"<= $9,920","$9,920 - $24,800","$24,800 - $39,680","$39,680 - $59,520",">= $59,521",1240,248,620,992,"$1,488",<= $248,$248 - $620,$620 - $992,"$992 - $1,488",">= $1,489"
Cape Breton (1217) 00000 (  3.0%),"Cape Breton (CD, NS)",62400,12480,31200,49920,74880,"<= $12,480","$12,480 - $31,200","$31,200 - $49,920","$49,920 - $74,880",">= $74,881",1560,312,780,1248,"$1,872",<= $312,$312 - $780,"$780 - $1,248","$1,248 - $1,872",">= $1,873"
Capital (5917) 00000 (  4.2%),"Capital (CD, BC)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Caplan MÃ‰ (2405060) 00000 (  0.9%),"Caplan MÉ (CSD, QC)",57600,11520,28800,46080,69120,"<= $11,520","$11,520 - $28,800","$28,800 - $46,080","$46,080 - $69,120",">= $69,121",1440,288,720,1152,"$1,728",<= $288,$288 - $720,"$720 - $1,152","$1,152 - $1,728",">= $1,729"
  Cap-Saint-Ignace MÃ‰ (2418045) 00000 (  3.5%),"Cap-Saint-Ignace MÉ (CSD, QC)",68000,13600,34000,54400,81600,"<= $13,600","$13,600 - $34,000","$34,000 - $54,400","$54,400 - $81,600",">= $81,601",1700,340,850,1360,"$2,040",<= $340,$340 - $850,"$850 - $1,360","$1,360 - $2,040",">= $2,041"
  Cap-SantÃ© V (2434030) 00000 (  2.4%),"Cap-Santé V (CSD, QC)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,"$2,670",<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Carberry T (4607068) 00010 ( 13.6%),"Carberry T (CSD, MB)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,"$1,935",<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Carbon VL (4805042) 00000 (  5.4%),"Carbon VL (CSD, AL)",68500,13700,34250,54800,82200,"<= $13,700","$13,700 - $34,250","$34,250 - $54,800","$54,800 - $82,200",">= $82,201",1712.5,342.5,856.25,1370,"$2,055",<= $343,$343 - $856,"$856 - $1,370","$1,370 - $2,055",">= $2,056"
  Cardston County MD (4803001) 00000 (  7.8%),"Cardston County MD (CSD, AL)",83000,16600,41500,66400,99600,"<= $16,600","$16,600 - $41,500","$41,500 - $66,400","$66,400 - $99,600",">= $99,601",2075,415,1037.5,1660,"$2,490",<= $415,"$415 - $1,038","$1,038 - $1,660","$1,660 - $2,490",">= $2,491"
  Cardston T (4803004) 00000 (  5.2%),"Cardston T (CSD, AL)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
Cariboo (5941) 00000 (  5.2%),"Cariboo (CD, BC)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Cariboo A RDA (5941019) 00000 (  2.5%),"Cariboo A RDA (CSD, BC)",81000,16200,40500,64800,97200,"<= $16,200","$16,200 - $40,500","$40,500 - $64,800","$64,800 - $97,200",">= $97,201",2025,405,1012.5,1620,"$2,430",<= $405,"$405 - $1,013","$1,013 - $1,620","$1,620 - $2,430",">= $2,431"
  Cariboo B RDA (5941021) 00000 (  2.7%),"Cariboo B RDA (CSD, BC)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Cariboo C RDA (5941026) 00000 (  6.8%),"Cariboo C RDA (CSD, BC)",72500,14500,36250,58000,87000,"<= $14,500","$14,500 - $36,250","$36,250 - $58,000","$58,000 - $87,000",">= $87,001",1812.5,362.5,906.25,1450,"$2,175",<= $363,$363 - $906,"$906 - $1,450","$1,450 - $2,175",">= $2,176"
  Cariboo D RDA (5941010) 00000 (  5.4%),"Cariboo D RDA (CSD, BC)",85000,17000,42500,68000,102000,"<= $17,000","$17,000 - $42,500","$42,500 - $68,000","$68,000 - $102,000",">= $102,001",2125,425,1062.5,1700,"$2,550",<= $425,"$425 - $1,063","$1,063 - $1,700","$1,700 - $2,550",">= $2,551"
  Cariboo E RDA (5941012) 00000 (  3.5%),"Cariboo E RDA (CSD, BC)",92000,18400,46000,73600,110400,"<= $18,400","$18,400 - $46,000","$46,000 - $73,600","$73,600 - $110,400",">= $110,401",2300,460,1150,1840,"$2,760",<= $460,"$460 - $1,150","$1,150 - $1,840","$1,840 - $2,760",">= $2,761"
  Cariboo F RDA (5941014) 00000 (  4.4%),"Cariboo F RDA (CSD, BC)",79500,15900,39750,63600,95400,"<= $15,900","$15,900 - $39,750","$39,750 - $63,600","$63,600 - $95,400",">= $95,401",1987.5,397.5,993.75,1590,"$2,385",<= $398,$398 - $994,"$994 - $1,590","$1,590 - $2,385",">= $2,386"
  Cariboo G RDA (5941015) 00000 (  7.0%),"Cariboo G RDA (CSD, BC)",69000,13800,34500,55200,82800,"<= $13,800","$13,800 - $34,500","$34,500 - $55,200","$55,200 - $82,800",">= $82,801",1725,345,862.5,1380,"$2,070",<= $345,$345 - $863,"$863 - $1,380","$1,380 - $2,070",">= $2,071"
  Cariboo H RDA (5941016) 01010 ( 14.7%),"Cariboo H RDA (CSD, BC)",55200,11040,27600,44160,66240,"<= $11,040","$11,040 - $27,600","$27,600 - $44,160","$44,160 - $66,240",">= $66,241",1380,276,690,1104,"$1,656",<= $276,$276 - $690,"$690 - $1,104","$1,104 - $1,656",">= $1,657"
  Cariboo I RDA (5941027) 00000 (  5.1%),"Cariboo I RDA (CSD, BC)",64500,12900,32250,51600,77400,"<= $12,900","$12,900 - $32,250","$32,250 - $51,600","$51,600 - $77,400",">= $77,401",1612.5,322.5,806.25,1290,"$1,935",<= $323,$323 - $806,"$806 - $1,290","$1,290 - $1,935",">= $1,936"
  Cariboo J RDA (5941039) 01010 ( 17.5%),"Cariboo J RDA (CSD, BC)",50400,10080,25200,40320,60480,"<= $10,080","$10,080 - $25,200","$25,200 - $40,320","$40,320 - $60,480",">= $60,481",1260,252,630,1008,"$1,512",<= $252,$252 - $630,"$630 - $1,008","$1,008 - $1,512",">= $1,513"
  Cariboo K RDA (5941041) 00000 (  7.6%),"Cariboo K RDA (CSD, BC)",53600,10720,26800,42880,64320,"<= $10,720","$10,720 - $26,800","$26,800 - $42,880","$42,880 - $64,320",">= $64,321",1340,268,670,1072,"$1,608",<= $268,$268 - $670,"$670 - $1,072","$1,072 - $1,608",">= $1,609"
  Cariboo L RDA (5941017) 01010 ( 13.6%),"Cariboo L RDA (CSD, BC)",62000,12400,31000,49600,74400,"<= $12,400","$12,400 - $31,000","$31,000 - $49,600","$49,600 - $74,400",">= $74,401",1550,310,775,1240,"$1,860",<= $310,$310 - $775,"$775 - $1,240","$1,240 - $1,860",">= $1,861"
  Carievale VL (4701004) 00909 (  0.0%),"Carievale VL (CSD, SK)",,,,,,,,,,,,,,,,,,,,
  Carignan V (2457010) 00000 (  2.3%),"Carignan V (CSD, QC)",121000,24200,60500,96800,145200,"<= $24,200","$24,200 - $60,500","$60,500 - $96,800","$96,800 - $145,200",">= $145,201",3025,605,1512.5,2420,"$3,630",<= $605,"$605 - $1,513","$1,513 - $2,420","$2,420 - $3,630",">= $3,631"
Carleton (1311) 00000 (  2.2%),"Carleton (CD, NB)",67000,13400,33500,53600,80400,"<= $13,400","$13,400 - $33,500","$33,500 - $53,600","$53,600 - $80,400",">= $80,401",1675,335,837.5,1340,"$2,010",<= $335,$335 - $838,"$838 - $1,340","$1,340 - $2,010",">= $2,011"
  Carleton Place T (3509028) 00000 (  2.3%),"Carleton Place T (CSD, ON)",89000,17800,44500,71200,106800,"<= $17,800","$17,800 - $44,500","$44,500 - $71,200","$71,200 - $106,800",">= $106,801",2225,445,1112.5,1780,"$2,670",<= $445,"$445 - $1,113","$1,113 - $1,780","$1,780 - $2,670",">= $2,671"
  Carleton-sur-Mer V (2406013) 00000 (  3.3%),"Carleton-sur-Mer V (CSD, QC)",63600,12720,31800,50880,76320,"<= $12,720","$12,720 - $31,800","$31,800 - $50,880","$50,880 - $76,320",">= $76,321",1590,318,795,1272,"$1,908",<= $318,$318 - $795,"$795 - $1,272","$1,272 - $1,908",">= $1,909"
  Carling TP (3549036) 01020 ( 20.7%),"Carling TP (CSD, ON)",94000,18800,47000,75200,112800,"<= $18,800","$18,800 - $47,000","$47,000 - $75,200","$75,200 - $112,800",">= $112,801",2350,470,1175,1880,"$2,820",<= $470,"$470 - $1,175","$1,175 - $1,880","$1,880 - $2,820",">= $2,821"
