Geography,Formatted Name,Median income of household ($),20% of AMHI,50% of AMHI,80% of AMHI,120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI,Rent AMHI,Rent 20% of AMHI,Rent 50% of AMHI,Rent 80% of AMHI,Rent 120% of AMHI,20% or under of AMHI,21% to 50% of AMHI,51% to 80% of AMHI,81% to 120% of AMHI,121% and more of AMHI
Montréal (2466) 00000 ( 4.4%),"Montréal (CD, QC)",52800,10560,26400,42240,63360,"<= $10,560","$10,561 - $26,400","$26,401 - $42,240","$42,241 - $63,360",">= $63,361",1320,264,660,1056,1584,<= $264,$265 - $660,"$661 - $1,056","$1,057 - $1,584",">= $1,585"
Roussillon (2467) 20000 ( 2.5%),"Roussillon (CD, QC)",78500,15700,39250,62800,94200,"<= $15,700","$15,701 - $39,250","$39,251 - $62,800","$62,801 - $94,200",">= $94,201",1963,393,981,1570,2355,<= $393,$394 - $981,"$982 - $1,570","$1,571 - $2,355",">= $2,356"
Les Jardins-de-Napierville (2468) 00000 ( 4.5%),"Les Jardins-de-Napierville (CD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,801 - $32,000","$32,001 - $51,200","$51,201 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$321 - $800,"$801 - $1,280","$1,281 - $1,920",">= $1,921"
Le Haut-Saint-Laurent (2469) 00000 ( 6.6%),"Le Haut-Saint-Laurent (CD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,161 - $25,400","$25,401 - $40,640","$40,641 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$255 - $635,"$636 - $1,016","$1,017 - $1,524",">= $1,525"
Beauharnois-Salaberry (2470) 00000 ( 3.7%),"Beauharnois-Salaberry (CD, QC)",54800,10960,27400,43840,65760,"<= $10,960","$10,961 - $27,400","$27,401 - $43,840","$43,841 - $65,760",">= $65,761",1370,274,685,1096,1644,<= $274,$275 - $685,"$686 - $1,096","$1,097 - $1,644",">= $1,645"
Vaudreuil-Soulanges (2471) 00000 ( 2.6%),"Vaudreuil-Soulanges (CD, QC)",79000,15800,39500,63200,94800,"<= $15,800","$15,801 - $39,500","$39,501 - $63,200","$63,201 - $94,800",">= $94,801",1975,395,988,1580,2370,<= $395,$396 - $988,"$989 - $1,580","$1,581 - $2,370",">= $2,371"
Deux-Montagnes (2472) 20000 ( 2.8%),"Deux-Montagnes (CD, QC)",71000,14200,35500,56800,85200,"<= $14,200","$14,201 - $35,500","$35,501 - $56,800","$56,801 - $85,200",">= $85,201",1775,355,888,1420,2130,<= $355,$356 - $888,"$889 - $1,420","$1,421 - $2,130",">= $2,131"
Thérèse-De Blainville (2473) 00000 ( 3.4%),"Thérèse-De Blainville (CD, QC)",77500,15500,38750,62000,93000,"<= $15,500","$15,501 - $38,750","$38,751 - $62,000","$62,001 - $93,000",">= $93,001",1938,388,969,1550,2325,<= $388,$389 - $969,"$970 - $1,550","$1,551 - $2,325",">= $2,326"
Mirabel (2474) 00000 ( 2.8%),"Mirabel (CD, QC)",76000,15200,38000,60800,91200,"<= $15,200","$15,201 - $38,000","$38,001 - $60,800","$60,801 - $91,200",">= $91,201",1900,380,950,1520,2280,<= $380,$381 - $950,"$951 - $1,520","$1,521 - $2,280",">= $2,281"
La Rivière-du-Nord (2475) 00000 ( 4.6%),"La Rivière-du-Nord (CD, QC)",59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Argenteuil (2476) 00000 ( 5.6%),"Argenteuil (CD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Les Pays-d'en-Haut (2477) 00000 ( 7.0%),"Les Pays-d'en-Haut (CD, QC)",58800,11760,29400,47040,70560,"<= $11,760","$11,761 - $29,400","$29,401 - $47,040","$47,041 - $70,560",">= $70,561",1470,294,735,1176,1764,<= $294,$295 - $735,"$736 - $1,176","$1,177 - $1,764",">= $1,765"
Les Laurentides (2478) 20000 ( 6.5%),"Les Laurentides (CD, QC)",50800,10160,25400,40640,60960,"<= $10,160","$10,161 - $25,400","$25,401 - $40,640","$40,641 - $60,960",">= $60,961",1270,254,635,1016,1524,<= $254,$255 - $635,"$636 - $1,016","$1,017 - $1,524",">= $1,525"
Antoine-Labelle (2479) 00000 ( 7.3%),"Antoine-Labelle (CD, QC)",47200,9440,23600,37760,56640,"<= $9,440","$9,441 - $23,600","$23,601 - $37,760","$37,761 - $56,640",">= $56,641",1180,236,590,944,1416,<= $236,$237 - $590,$591 - $944,"$945 - $1,416",">= $1,417"
Papineau (2480) 00000 ( 5.6%),"Papineau (CD, QC)",51200,10240,25600,40960,61440,"<= $10,240","$10,241 - $25,600","$25,601 - $40,960","$40,961 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$257 - $640,"$641 - $1,024","$1,025 - $1,536",">= $1,537"
Gatineau (2481) 00000 ( 3.9%),"Gatineau (CD, QC)",68500,13700,34250,54800,82200,"<= $13,700","$13,701 - $34,250","$34,251 - $54,800","$54,801 - $82,200",">= $82,201",1713,343,856,1370,2055,<= $343,$344 - $856,"$857 - $1,370","$1,371 - $2,055",">= $2,056"
Les Collines-de-l'Outaouais (2482) 00000 ( 4.8%),"Les Collines-de-l'Outaouais (CD, QC)",91000,18200,45500,72800,109200,"<= $18,200","$18,201 - $45,500","$45,501 - $72,800","$72,801 - $109,200",">= $109,201",2275,455,1138,1820,2730,<= $455,"$456 - $1,138","$1,139 - $1,820","$1,821 - $2,730",">= $2,731"
La Vallée-de-la-Gatineau (2483) 20011 ( 10.5%),"La Vallée-de-la-Gatineau (CD, QC)",46400,9280,23200,37120,55680,"<= $9,280","$9,281 - $23,200","$23,201 - $37,120","$37,121 - $55,680",">= $55,681",1160,232,580,928,1392,<= $232,$233 - $580,$581 - $928,"$929 - $1,392",">= $1,393"
Pontiac (2484) 00011 ( 10.7%),"Pontiac (CD, QC)",50400,10080,25200,40320,60480,"<= $10,080","$10,081 - $25,200","$25,201 - $40,320","$40,321 - $60,480",">= $60,481",1260,252,630,1008,1512,<= $252,$253 - $630,"$631 - $1,008","$1,009 - $1,512",">= $1,513"
Témiscamingue (2485) 00000 ( 7.3%),"Témiscamingue (CD, QC)",56800,11360,28400,45440,68160,"<= $11,360","$11,361 - $28,400","$28,401 - $45,440","$45,441 - $68,160",">= $68,161",1420,284,710,1136,1704,<= $284,$285 - $710,"$711 - $1,136","$1,137 - $1,704",">= $1,705"
Rouyn-Noranda (2486) 00000 ( 6.0%),"Rouyn-Noranda (CD, QC)",63200,12640,31600,50560,75840,"<= $12,640","$12,641 - $31,600","$31,601 - $50,560","$50,561 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$317 - $790,"$791 - $1,264","$1,265 - $1,896",">= $1,897"
Abitibi-Ouest (2487) 00000 ( 4.6%),"Abitibi-Ouest (CD, QC)",57200,11440,28600,45760,68640,"<= $11,440","$11,441 - $28,600","$28,601 - $45,760","$45,761 - $68,640",">= $68,641",1430,286,715,1144,1716,<= $286,$287 - $715,"$716 - $1,144","$1,145 - $1,716",">= $1,717"
Abitibi (2488) 00000 ( 6.4%),"Abitibi (CD, QC)",64000,12800,32000,51200,76800,"<= $12,800","$12,801 - $32,000","$32,001 - $51,200","$51,201 - $76,800",">= $76,801",1600,320,800,1280,1920,<= $320,$321 - $800,"$801 - $1,280","$1,281 - $1,920",">= $1,921"
La Vallée-de-l'Or (2489) 00000 ( 5.7%),"La Vallée-de-l'Or (CD, QC)",63200,12640,31600,50560,75840,"<= $12,640","$12,641 - $31,600","$31,601 - $50,560","$50,561 - $75,840",">= $75,841",1580,316,790,1264,1896,<= $316,$317 - $790,"$791 - $1,264","$1,265 - $1,896",">= $1,897"
La Tuque (2490) 00000 ( 7.5%),"La Tuque (CD, QC)",51600,10320,25800,41280,61920,"<= $10,320","$10,321 - $25,800","$25,801 - $41,280","$41,281 - $61,920",">= $61,921",1290,258,645,1032,1548,<= $258,$259 - $645,"$646 - $1,032","$1,033 - $1,548",">= $1,549"
Le Domaine-du-Roy (2491) 00000 ( 5.5%),"Le Domaine-du-Roy (CD, QC)",54800,10960,27400,43840,65760,"<= $10,960","$10,961 - $27,400","$27,401 - $43,840","$43,841 - $65,760",">= $65,761",1370,274,685,1096,1644,<= $274,$275 - $685,"$686 - $1,096","$1,097 - $1,644",">= $1,645"
Maria-Chapdelaine (2492) 00000 ( 4.5%),"Maria-Chapdelaine (CD, QC)",54400,10880,27200,43520,65280,"<= $10,880","$10,881 - $27,200","$27,201 - $43,520","$43,521 - $65,280",">= $65,281",1360,272,680,1088,1632,<= $272,$273 - $680,"$681 - $1,088","$1,089 - $1,632",">= $1,633"
Lac-Saint-Jean-Est (2493) 00000 ( 5.2%),"Lac-Saint-Jean-Est (CD, QC)",58000,11600,29000,46400,69600,"<= $11,600","$11,601 - $29,000","$29,001 - $46,400","$46,401 - $69,600",">= $69,601",1450,290,725,1160,1740,<= $290,$291 - $725,"$726 - $1,160","$1,161 - $1,740",">= $1,741"
Le Saguenay-et-son-Fjord (2494) 00000 ( 4.7%),"Le Saguenay-et-son-Fjord (CD, QC)",59200,11840,29600,47360,71040,"<= $11,840","$11,841 - $29,600","$29,601 - $47,360","$47,361 - $71,040",">= $71,041",1480,296,740,1184,1776,<= $296,$297 - $740,"$741 - $1,184","$1,185 - $1,776",">= $1,777"
La Haute-Côte-Nord (2495) 00011 ( 12.6%),"La Haute-Côte-Nord (CD, QC)",51200,10240,25600,40960,61440,"<= $10,240","$10,241 - $25,600","$25,601 - $40,960","$40,961 - $61,440",">= $61,441",1280,256,640,1024,1536,<= $256,$257 - $640,"$641 - $1,024","$1,025 - $1,536",">= $1,537"
Manicouagan (2496) 00000 ( 8.4%),"Manicouagan (CD, QC)",66500,13300,33250,53200,79800,"<= $13,300","$13,301 - $33,250","$33,251 - $53,200","$53,201 - $79,800",">= $79,801",1663,333,831,1330,1995,<= $333,$334 - $831,"$832 - $1,330","$1,331 - $1,995",">= $1,996"
Sept-Rivières--Caniapiscau (2497) 00000 ( 7.6%),"Sept-Rivières--Caniapiscau (CD, QC)",75000,15000,37500,60000,90000,"<= $15,000","$15,001 - $37,500","$37,501 - $60,000","$60,001 - $90,000",">= $90,001",1875,375,938,1500,2250,<= $375,$376 - $938,"$939 - $1,500","$1,501 - $2,250",">= $2,251"
Minganie--Le Golfe-du-Saint-Laurent (2498) 00011 ( 10.5%),"Minganie--Le Golfe-du-Saint-Laurent (CD, QC)",73500,14700,36750,58800,88200,"<= $14,700","$14,701 - $36,750","$36,751 - $58,800","$58,801 - $88,200",">= $88,201",1838,368,919,1470,2205,<= $368,$369 - $919,"$920 - $1,470","$1,471 - $2,205",">= $2,206"
Nord-du-Québec (2499) 01101 ( 9.6%),"Nord-du-Québec (CD, QC)",75500,15100,37750,60400,90600,"<= $15,100","$15,101 - $37,750","$37,751 - $60,400","$60,401 - $90,600",">= $90,601",1888,378,944,1510,2265,<= $378,$379 - $944,"$945 - $1,510","$1,511 - $2,265",">= $2,266"
"Stormont, Dundas and Glengarry (3501) 00000 ( 5.2%)","Stormont, Dundas and Glengarry (CD, ON)",59600,11920,29800,47680,71520,"<= $11,920","$11,921 - $29,800","$29,801 - $47,680","$47,681 - $71,520",">= $71,521",1490,298,745,1192,1788,<= $298,$299 - $745,"$746 - $1,192","$1,193 - $1,788",">= $1,789"
Prescott and Russell (3502) 00000 ( 4.8%),"Prescott and Russell (CD, ON)",79000,15800,39500,63200,94800,"<= $15,800","$15,801 - $39,500","$39,501 - $63,200","$63,201 - $94,800",">= $94,801",1975,395,988,1580,2370,<= $395,$396 - $988,"$989 - $1,580","$1,581 - $2,370",">= $2,371"
Ottawa (3506) 00000 ( 4.0%),"Ottawa (CD, ON)",86000,17200,43000,68800,103200,"<= $17,200","$17,201 - $43,000","$43,001 - $68,800","$68,801 - $103,200",">= $103,201",2150,430,1075,1720,2580,<= $430,"$431 - $1,075","$1,076 - $1,720","$1,721 - $2,580",">= $2,581"
Leeds and Grenville (3507) 00000 ( 5.8%),"Leeds and Grenville (CD, ON)",68500,13700,34250,54800,82200,"<= $13,700","$13,701 - $34,250","$34,251 - $54,800","$54,801 - $82,200",">= $82,201",1713,343,856,1370,2055,<= $343,$344 - $856,"$857 - $1,370","$1,371 - $2,055",">= $2,056"
Lanark (3509) 00000 ( 6.8%),"Lanark (CD, ON)",71500,14300,35750,57200,85800,"<= $14,300","$14,301 - $35,750","$35,751 - $57,200","$57,201 - $85,800",">= $85,801",1788,358,894,1430,2145,<= $358,$359 - $894,"$895 - $1,430","$1,431 - $2,145",">= $2,146"
Frontenac (3510) 00000 ( 4.5%),"Frontenac (CD, ON)",69500,13900,34750,55600,83400,"<= $13,900","$13,901 - $34,750","$34,751 - $55,600","$55,601 - $83,400",">= $83,401",1738,348,869,1390,2085,<= $348,$349 - $869,"$870 - $1,390","$1,391 - $2,085",">= $2,086"
Lennox and Addington (3511) 00000 ( 4.0%),"Lennox and Addington (CD, ON)",71500,14300,35750,57200,85800,"<= $14,300","$14,301 - $35,750","$35,751 - $57,200","$57,201 - $85,800",">= $85,801",1788,358,894,1430,2145,<= $358,$359 - $894,"$895 - $1,430","$1,431 - $2,145",">= $2,146"
Hastings (3512) 00000 ( 6.0%),"Hastings (CD, ON)",61200,12240,30600,48960,73440,"<= $12,240","$12,241 - $30,600","$30,601 - $48,960","$48,961 - $73,440",">= $73,441",1530,306,765,1224,1836,<= $306,$307 - $765,"$766 - $1,224","$1,225 - $1,836",">= $1,837"
Prince Edward (3513) 00000 ( 5.0%),"Prince Edward (CD, ON)",67000,13400,33500,53600,80400,"<= $13,400","$13,401 - $33,500","$33,501 - $53,600","$53,601 - $80,400",">= $80,401",1675,335,838,1340,2010,<= $335,$336 - $838,"$839 - $1,340","$1,341 - $2,010",">= $2,011"
Northumberland (3514) 00000 ( 5.1%),"Northumberland (CD, ON)",70000,14000,35000,56000,84000,"<= $14,000","$14,001 - $35,000","$35,001 - $56,000","$56,001 - $84,000",">= $84,001",1750,350,875,1400,2100,<= $350,$351 - $875,"$876 - $1,400","$1,401 - $2,100",">= $2,101"
Peterborough (3515) 00000 ( 5.1%),"Peterborough (CD, ON)",64500,12900,32250,51600,77400,"<= $12,900","$12,901 - $32,250","$32,251 - $51,600","$51,601 - $77,400",">= $77,401",1613,323,806,1290,1935,<= $323,$324 - $806,"$807 - $1,290","$1,291 - $1,935",">= $1,936"
